Species,Common name,Maximum longevity (yrs)
minimus,Least chipmunk,10
quadrimaculatus,Long-eared chipmunk,unknown
quadrivittatus,Colorado chipmunk,unknown
ruficaudus,Red-tailed chipmunk,unknown
sibiricus,Siberian chipmunk,9.6
striatus,Eastern chipmunk,9.5
townsendii,Townsend's chipmunk,9.3
hudsonicus,Red squirrel,9.8
xanthipes,Complex-toothed flying squirrel,unknown
beldingi,Belding's ground squirrel,unknown
richardsonii,Richardson's ground squirrel,unknown
mohavensis,Mohave ground squirrel,7.8
tereticaudus,Round-tailed ground squirrel,8.9
erythropus,Striped ground squirrel,10.3
inauris,South African ground squirrel,11.5
badius,Lesser bamboo rat,4.8
sumatrensis,Large bamboo rat,unknown
carmeli,Mt carmel blind mole rat,unknown
ehrenbergi,Palestine mole rat,20.2
splendens,East African mole rat,unknown
swinderianus,Greater cane rat,5.4
lowii,Pen-tailed tree shrew,unknown
belangeri,Northern tree shrew,11.1
glis,Common tree shrew,12.4
minor,Pygmy tree shrew,12.2
tana,Large tree shrew,11.6
everetti,Mindanao tree shrew,11.5
dugon,Dugong,73
inunguis,Amazonian manatee,40
manatus,West Indian manatee,69
cubanus,Cuban solenodon,unknown
paradoxus,Hispaniolan solenodon,12.1
brevicauda,Northern short-tailed shrew,2.2
hylophaga,Elliot's short-tailed shrew,2.8
flavescens,Greater red musk shrew,2.2
leucodon,Bicolored shrew,2.9
russula,White-toothed shrew,4
suaveolens,Lesser shrew,2.8
parva,Least shrew,3.5
varius,Forest shrew,2.1
anomalus,Southern water shrew,unknown
fodiens,Eurasian water shrew,3.1
alpinus,Alpine shrew,unknown
araneus,Eurasian shrew,3.2
arcticus,Arctic shrew,unknown
caecutiens,Laxmann's shrew,3
cinereus,Cinereus shrew,unknown
coronatus,Crowned shrew,unknown
fumeus,Smoky shrew,unknown
minutus,Eurasian pygmy shrew,unknown
monticolus,Montane shrew,unknown
ornatus,Ornate shrew,unknown
palustris,Water shrew,unknown
trowbridgii,Trowbridge's shrew,unknown
vagrans,Vagrant shrew,unknown
etruscus,White-toothed pygmy shrew,3.2
murinus,Asian house shrew,3.2
cristata,Star-nosed mole,2.5
pyrenaicus,Pyrenean desman,unknown
wogura,Japanese mole,3.2
breweri,Hairy-tailed mole,unknown
aquaticus,Eastern mole,6.2
europaea,European mole,unknown
afer,Aardvark,29.8
mississippiensis,American alligator,77
sinensis,Chinese alligator,65
crocodilus,Spectacled caiman,40
latirostris,Broad-snouted caiman,58
niger,Black caiman,40
palpebrosus,Dwarf caiman,24.1
trigonatus,Smooth-fronted caiman,40
acutus,American crocodile,47
intermedius,Orinoco crocodile,41
johnstoni,Johnson's crocodile,55
moreletii,Morelet's crocodile,25.4
niloticus,Nile crocodile,56
novaeguineae,New Guinea crocodile,51
palustris,"Mugger, or Marsh crocodile",44
porosus,Saltwater crocodile,57
rhombifer,Cuban crocodile,48
siamensis,Siamese crocodile,49
cataphractus,African slender-snouted crocodile,56.1
tetraspis,West African dwarf crocodile,70
gangeticus,Gharial,59
schlegelii,False gharial,24.7
punctatus,Tuatara,90
arafurae,Arafura filesnake,8.8
javanicus,Javan wart snake,5.8
atricollis,"Black-necked agama, or Plains agama",6
impalearis,Bibron's agama,6
nobbi,Nobbi,unknown
versicolor,Indian changeable lizard,5
kingii,Frilled lizard,9.9
amboinensis,Sailfin lizard,24.4
pustulatus,Philippine sailfin lizard,15.2
stellio,Levant starred lizard,6
belliana,Butterfly lizard,5.6
cocincinus,"Chinese water dragon, or Water dragon",15.3
lesueurii,Eastern water dragon,18.9
barbata,Eastern bearded dragon,9.9
vitticeps,Central bearded dragon,12
acanthinura,North African spiny dabb lizard,11.4
aegyptia,Egyptian spiny-tailed lizard,15.3
dispar,Sudan mastigure,17
alba,Red worm lizard,15.1
fragilis,Slow worm,54
monotropis,Galliwasp,12.3
kingii,Madrean alligator lizard,12.3
multicarinata,Southern alligator lizard,9.8
liocephalus,Texas alligator lizard,unknown
ventralis,Eastern glass lizard,14.8
apodus,"European glass lizard, or Armored glass lizard",54
cinereus,"Mediterranean worm lizard, or Spanish grey amphisbaena",16
constrictor,Boa constrictor,40.4
angulifer,Cuban boa,22.6
chrysogaster,"Turks boa, or Caicos boa",14.2
exsul,Abaco Island boa,21.7
fordii,Haitian ground boa,24.4
inornatus,Puerto rican boa,23.9
striatus,Haitian boa,22.1
subflavus,Jamaica boa,24.3
annulatus,Annulated boa,15.3
caninus,Emerald tree-boa,18.6
hortulanus,Amazonian tree boa,15
cenchria,Rainbow boa,31
deschauenseei,Dark-spotted anaconda,23.2
murinus,Green anaconda,31.8
notaeus,Paraguayan anaconda,23.6
dussumieri,Round Island boas,17.8
aspera,New Guinea boa,9.9
bibroni,Pacific tree boa,16.9
carinata,Pacific ground boa,16.6
milii,Thick-tailed gecko,12
parsonii,Parson's chameleon,9
chamaeleon,Common chameleon,3.6
dilepis,Flapneck chameleon,4
labordi,Labord's chameleon,1.3
pardalis,Panther chameleon,5.2
jacksonii,Jackson's chameleon,8.2
bottae,Rubber boa,26.5
trivirgata,Rosy boa,31
continentalis,Round-spot banana boa,17.7
panamensis,Panama wood snake,14.2
elegans,Glossy snake,19.1
subocularis,Trans-pecos rat snake,23.8
blandingii,Blanding's cat snake,12.6
cynodon,Dog-tooth cat snake,9.6
dendrophila,"Gold-ringed cat snake, or Mangrove snake",17
irregularis,Brown tree snake,13.1
trigonata,"Common catsnake, or Indian gamma snake",8.2
coccinea,Scarlet snake,10.4
stramineus,Banded sand snake,4
clelia,Mussarana,11.5
kirtlandii,Kirtland's snake,8.4
constrictor,"Eastern racer, or Northern black racer",10
ravergieri,Palaearctic tail-lined snake,13.8
atra,African egg-eating snake,unknown
medici,East African egg-eating snake,8.6
scabra,"Rhombic egg eater, or African egg-eating snake",22.1
rufozonatum,Red barded snake,13.7
typus,Boomslang,8.7
corais,Indigo snake,25.9
bairdi,Baird's rat snake,16.3
climacophora,Japanese rat snake,13.1
flavirufa,Yellow-red/tropical rat snake,16.3
guttata,Corn snake,32.3
helena,Trinket snake,15
moellendorffi,Red-headed rat snake,21.1
obsoleta,Black rat snake,33.9
quadrivirgata,Japanese four-lined ratsnake,16.8
schrenckii,Russian ratsnake,13.7
situla,European leopard snake,23
taeniura,Taipan beauty snake,11.6
vulpina,Eastern fox snake,17
abacura,"Mud snake, or Western mud snake",19
oxycephalum,Red-tailed rat snake,15.1
nasicus,"Western hognose snake, or Mexican hognose snake",19.8
platirhinos,Eastern hognose snake,9.1
gigas,False water snake,16.9
torquata,Night snake,12.2
alterna,Gray-banded kingsnake,19.7
calligaster,Prairie kingsnake,23.8
getula,Common kingsnake,33.3
mexicana,"Mexican kingsnake, or Greer's kingsnake",15.6
pyromelana,Sonoran mountain kingsnake,22.4
triangulum,Milk snake,22.6
zonata,California mountain kingsnake,28.8
fuliginosus,African house snake,9
mexicanus,"Mexican parrot snake, or Parrot snake",7.7
cucullatus,False smooth snake,5.9
flagellum,Coachwhip,20.2
capensis,Lapi file snake,10.9
natrix,European grass snake,20
erythrogaster,Plainbelly water snake,14.8
sipedon,Northern water snake,9.6
taxispilota,Brown water snake,6.1
aestivus,Rough greensnake,7.2
vernalis,Smooth green snake,6.1
aeneus,Brown vine snake,15.2
catenifer,Gopher snake,33.8
melanoleucus,"Pine snake, or Bull snake",22.4
mucosus,Indian rat snake,11.3
septemvittata,Queen snake,19.3
lecontei,"Long-nosed snake, or Western long-nosed snake",19.8
hexalepis,Western patch-nosed snake,14.3
triaspis,Green rat snake,19.8
diadema,"Diadem snake, or Diademed snake",17
pullatus,Tropical rat snake,17.5
dekayi,Brown snake,7
occipitomaculata,Redbelly snake,4.6
semiannulatus,"Common tiger snake, or Eastern tiger snake",7.6
butleri,Butler's garter snake,14
couchii,Western aquatic garter snake,7.7
cyrtopsis,Eastern blackneck garter snake,10.8
elegans,Western terrestrial garter snake,17.8
marcianus,Checkered garter snake,7
ordinoides,Northwestern garter snake,15.8
radix,Plains garter snake,8.4
sauritus,Eastern ribbonsnake,10.6
sirtalis,Common garter snake,14
biscutatus,Western lyresnake,11.8
oxyrhynchus,Pointed snake,18.9
striatula,Rough earth snake,7.2
valeriae,Smooth earth snake,9.5
cataphractus,Armadillo girdled lizard,20.2
cordylus,"Cape girdled lizard, or Rough-scaled girdled lizard",15.6
giganteus,Giant spinytail lizard,24.9
warreni,Warren's spinytail lizard,19.8
major,Rough-scaled plated lizard,24
validus,Giant plated lizard,17.2
guttatus,Lesser flat lizard,15.6
imperator,Emperor flat lizard,14
plumifrons,Green basilisk,13
vittatus,Brown basilisk,9.1
cristatus,Smooth helmeted iguana,7.1
longipes,Eastern casquehead iguana,15.4
bimaculatus,Panther anole,7
carolinensis,Green anole,7.2
cuvieri,Puerto Rican giant anole,9.2
equestris,Knight anole,16.5
roquet,"Martinique's anole, or Anole",6.7
pacificus,Pacific sticky-toed gecko,13
duvaucelii,Giant gecko,25
granulatus,Forest gecko,21
elegans,Auckland green gecko,20
gemmeus,Jewelled gecko,16
grayii,Northland green gecko,16
rudis,Rough scale gecko,13
marmorata,Marbled velvet gecko,21.2
leachianus,New Caledonia giant gecko,8.5
maculatus,Gray gecko,37
antarcticus,Common death adder,9.3
lubricus,"Cape coral snake, or Coral snake",9
scutatus,Shieldnose cobra,13.5
caeruleus,Indian krait,17.4
fasciatus,"Banded krait, or Red-headed krait",13.2
multicinctus,Many-banded krait,13.7
angusticeps,Green mamba,18.8
jamesoni,Jameson's mamba,13.1
polylepis,Black mamba,26.2
viridis,"Western green mamba, or Green mamba",18.7
sundevallii,Sundevall's garter sanke,11.6
haemachatus,Ringneck spitting cobra,13
euryxanthus,Western coral snake,17.6
fulvius,Eastern coral snake,19
atra,"Chinese cobra, or Indian spitting cobra, or Golden spitting cobra",11.7
haje,Egyptian cobra,22.1
kaouthia,"Indian cobra, or Monocled cobra",25.4
melanoleuca,Black and white cobra,29.1
mossambica,Mozambique spitting cobra,16.7
naja,Indian cobra,32.3
nigricollis,Blackneck spitting cobra,23.2
nivea,Cape cobra,26
pallida,Red spitting cobra,20.2
samarensis,Southeastern philippine cobra,11.4
sputatrix,"Indonesian cobra, or Indian spitting cobra, or Indochinese spitting cobra",13.5
scutatus,Mainland tiger snake,14.1
hannah,King cobra,22.5
scutellatus,"Coastal taipan, or Taipan",15.6
australis,"King grown snake, or King brown snake",11.1
porphyriacus,"Australian black snake, or Australian purplish death adder",11.6
colubrinus,Kenya sand-boa,20.7
conicus,Rough-scaled sand-boa,28.2
jaculus,Caucasian sand-boa,24.7
johnii,John's Indian sand-boa,24.4
tataricus,Tartar sand-boa,24
elegans,Mexican banded gecko,11
variegatus,Western banded gecko,15.2
macularius,Leopard gecko,28.5
caudicinctus,African fat-tailed gecko,16.2
angulifer,Namib sand gecko,10.8
bibronii,Bibron's gecko,6.1
marmoratus,Marbled gecko,12.8
oceanica,Oceanic dtella,10.5
gecko,Tokay gecko,23.5
frenatus,Common house gecko,unknown
turcicus,Mediterranean house gecko,8.4
binoei,Prickly gecko,13.6
astriata,Seychelles small day gecko,7.4
cepediana,Blue-tailed day gecko,9.3
guentheri,Round island day gecko,17.8
guimbeaui,Orange-spotted day gecko,7.1
laticauda,Broad-tailed day gecko,8.7
lineata,Striped day gecko,10
madagascariensis,Madagascar day gecko,13.6
standingi,Standing's day gecko,9.6
sundbergi,Seychelles giant day gecko,15.9
horridum,Beaded lizard,34.4
suspectum,Gila monster,28.9
tentaculatum,East Indian tentacled snake,13.6
chinensis,Chinese water snake,4.2
cristatus,Marine iguana,6.4
fasciatus,Fiji banded iguana,5.9
pallidus,Santa Fe land iguana,17.1
subcristatus,Galapagos land iguana,unknown
bakeri,Baker's spinytail iguana,13.8
hemilopha,Cape spinytail iguana,9.6
palearis,"Motagua spiny-tailed iguana, or Honduran dwarf spiny-tailed iguana",10.2
pectinata,Western spiny-tailed iguana,8.2
similis,Black iguana,22.4
cornuta,Rhinoceros iguana,22.9
cychlura,Andros island iguana,23.4
nubila,Cayman rock iguana,47.6
rileyi,White cay ground iguana,unknown
dorsalis,Desert iguana,14.6
iguana,Common green iguana,19.8
ater,Northern chuckwalla,9.3
hispidus,Spiny chuckwalla,17.2
varius,Piebald chuckwalla,11.3
magister,Desert spiny lizard,5.9
poinsettii,Crevice spiny lizard,8
serrifer,Blue spiny lizard,6.7
undulatus,Fence lizard,unknown
galloti,Gallot's Canary Island lizard,5.6
simonyi,Simony's Canary Island lizard,5.4
viridis,European green lizard,10
vivipara,Viviparous lizard,11
muralis,Common wall lizard,10
dugesii,Madeira wall lizard,4.8
lepidus,Jeweled lizard,17
bibronii,Bibron's mole viper,23.9
madagascariensis,Madagascar giant hognose snake,27.2
subtaeniatus,Stripe-belly sand racer,5.8
cana,Mole snake,8.3
oxyrhynchus,Rufous beaked snake,13.3
carinatus,Northern curly-tailed lizard,10.8
antofagastensis,Phymaturus antofagastensis,20
patagonicus,Patagonia mountain lizard,16
punae,Cei's mountain lizard,20
bicolor,Mexican burrowing python,32.8
cuvieri,Cuvier's Madagascar swift,21.2
cyclurus,Merrem's Madagascar swift,9.3
notata,Colorado desert fringe-toed lizard,8.1
hasselquistii,Fan-footed gecko,10.9
annularis,Ringed wall gecko,11.8
mauritanica,Common wall gecko,14
childreni,Children's python,25.7
melanocephalus,Black-headed python,22.6
boa,Bismarck ringed python,22.2
albertisii,D'albert's python,18
fuscus,Brown water python,26.8
mackloti,Macklot's python,17.4
amethistina,Scrub python,13.8
boeleni,Boelen's python,20.1
spilota,Carpet python,19.6
viridis,Green tree python,20.6
curtus,Blood python,27.8
molurus,Indian python,34.2
regius,Ball python,47.5
reticulatus,Reticulated python,29.4
sebae,African rock python,27.3
timoriensis,Timor python,20.5
dumerili,Dumeril's ground boa,26
madagascariensis,Madagascar boa,28.4
madagascariensis,Madagascar tree boa,21.8
ocellatus,Palaearctic eyed skink,14
zebrata,Solomon Island skink,24.3
macgregori,Mcgregor's skink,20
cunninghami,Cunningham's skink,26.5
hosmeri,Hosmer's skink,24.5
luctuosa,Mourning skink,18.2
major,Land mullet,10.8
stokesii,Gidgee skink,18.2
algeriensis,Algerian skink,22.8
laticeps,Broadhead skink,7.7
obsoletus,Great Plains skink,7.3
gerrardii,Pink-tongued skink,12.9
grande,Grand skink,unknown
otagense,Otago skink,44
gigas,Great moluccan skink,17.3
nigrolutea,Australian black and yellow skink,11.5
scincoides,Australian blue-tongued lizard,26.6
rugosus,Shingleback skink,20.9
albogularis,Yellowhead gecko,5.6
scincus,Common wonder gecko,12.6
ameiva,Giant ameiva,4.6
sexlineatus,Six-lined racerunner,6
tigris,Western whiptail,7.8
guianensis,Guyana caiman lizard,9.3
rufescens,Red tegu,10.8
teguixin,Columbian tegu,16.1
canus,"Bahama-wood snake, or Dwarf boa",16.1
caymanensis,Cayman islands dwarf boa,25.9
haetianus,Haitian dwarf boa,15.3
bengalensis,Bengal monitor,11.2
dumerilii,Dumeril monitor,10.7
exanthematicus,Bosc's monitor and Savannah monitor,12.7
giganteus,Perentie,19.7
gouldii,Sand monitor,18.3
griseus,Desert monitor,17
indicus,"Indian monitor lizard, or Indian monitor",17.4
komodoensis,Komodo dragon,62
mertensi,Merten's water monitor,20.3
niloticus,Nile monitor,14.6
olivaceus,Gray's monitor lizard,15.2
prasinus,New Guinea green tree monitor,14.2
salvator,Common water monitor,15.7
timorensis,Spotted tree monitor,14.9
varius,Lace monitor,14.7
bilineatus,"Mexican moccasin, or Cantil",24.3
contortrix,Northern copperhead,29.8
piscivorus,Water moccasin,24.5
nummifer,Jumping pit viper,19
picadoi,Picado's pit viper,13
arietans,Puff adder,15.8
gabonica,Gaboon viper,18
nasicornis,Rhinoceros viper,9.4
aurifer,Yellow-blotched palm pit viper,13.7
lateralis,Side-striped palm pit viper,12.5
rowleyi,Rowley's palm pit viper,12.8
schlegelii,Eyelash palm pit viper,19.5
alternatus,Urutu,15.2
asper,"Terciopelo, or Fer-de-lance",20.4
atrox,Common lancehead,8.5
caribbaeus,Saint Lucia lancehead,14.4
jararaca,Jararaca,unknown
lanceolatus,Martinique lancehead,13
neuwiedi,Yara,15.1
rhombeatus,Cape viper,6.6
cerastes,Desert horned viper,18
godmani,Godman's montane pit viper,15.8
adamanteus,Eastern diamondback rattlesnake,22.8
atrox,Western diamond-backed rattlesnake,27
basiliscus,Mexican West-Coast rattlesnake,16
catalinensis,Saint Catalina rattlesnake,11.8
cerastes,Sidewinder,27.3
durissus,Cascabel rattlesnake,19.8
enyo,Lower california rattlesnake,17.1
horridus,Timber rattlesnake,30.2
lepidus,"Rock rattlesnake, or New Mexico banded rock rattlesnake",33.6
mitchellii,"Speckled rattlesnake, or Southwestern speckled rattlesnake",22
molossus,Northern black-tailed rattlesnake,20.7
pricei,Twin-spotted rattlesnake,15.7
ruber,Red diamond rattlesnake,19.2
scutulatus,Mojave rattlesnake,14.4
tigris,Tiger rattlesnake,15.3
tortugensis,Tortuga Island rattlesnake,18.3
vegrandis,Uracoan rattlesnake,19.8
viridis,"Prairie rattlesnake, or Southern Pacific rattlesnake",24.1
willardi,"Ridge-nosed rattlesnake, or Arizona ridge-nosed rattlesnake",21.3
russelii,Russell's viper,15
carinatus,Saw-scaled viper,23.8
coloratus,Palestine saw-scaled viper,28.3
macmahonii,Mcmahon's viper,14.6
blomhoffii,Japanese mamushi,13.8
muta,Bushmaster,31.6
lebetina,Levantine viper,13.3
melanurus,Black-tailed montane pit viper,17.1
undulatus,Mexican horned pit viper,14.9
okinavensis,Okinawan habu,19
persicus,Persian horned viper,17.1
catenatus,Massasauga,20
miliarius,Pigmy rattlesnake,16.1
ravus,Pygmy rattlesnake,14.8
albolabris,White-lipped tree viper,11.4
flavoviridis,Yellow-spotted pit viper,24.9
gramineus,Indian green tree viper,8.4
popeorum,Pope's pit viper,14
stejnegeri,Stejneger's pit viper,unknown
ammodytes,Long-nosed viper,22
aspis,Asp viper,25
berus,Northern palaearctic viper,19
latastei,Lataste's viper,9.7
raddei,Armenian viper,10.7
xanthina,Palestine viper,16.4
flavimaculatum,Yellow-spotted night lizard,11
henshawi,Granite night lizard,14.3
riversiana,Island night lizard,13.9
vigilis,Desert night lizard,10.9
unicolor,Sunbeam snake,12.1
insculpta,Pignose turtle,38.4
longicollis,Common snake-necked turtle,37
oblonga,"Northern snake-necked turtle, or Oblong snakeneck turtle",unknown
fimbriatus,Mata mata,35.8
dentata,Northern Australian snapping turtle,21.8
krefftii,Krefft's river turtle,15.8
macquarii,Macquarie turtle,20.9
dahli,Dahl's toad-headed turtle,27.4
latisternum,Serrated snapping turtle,26.5
geoffroanus,Geoffrey's sideneck turtle,37.5
hilarii,Hilaire's side-necked turtle,37.4
platycephala,Twistneck turtle,20
caretta,Loggerhead sea turtle,77
mydas,Green sea turtle,75
imbricata,Hawksbill,unknown
kempii,Atlantic ridley,30.2
serpentina,Common snapping turtle,47
temminckii,Alligator snapping turtle,70.3
mawii,Central american river turtle,11.3
coriacea,Leatherback sea turtle,30
marmorata,"Pacific pond turtle, or Southwestern pond turtle",27.3
picta,Painted turtle,61
guttata,Spotted turtle,51
reticularia,Chicken turtle,24
blandingii,Blanding's turtle,77
orbicularis,European pond turtle,120
insculpta,Wood turtle,60
muhlenbergii,Bog turtle,40
barbouri,Barbour's map turtle,31.7
caglei,Cagle's map turtle,14.5
geographica,Common map turtle,unknown
nigrinoda,Black-knobbed map turtle,20.3
oculifera,Ringed map turtle,20.3
pseudogeographica,"False map turtle, or Mississippi map turtle",35.4
pulchra,Alabama map turtle,15.7
terrapin,Diamondback terrapin,unknown
concinna,River cooter,44
nelsoni,Florida red-bellied turtle,26.1
rubriventris,Northern red-bellied cooter,unknown
carolina,Eastern box turtle,138
coahuila,Coahuilan box turtle,18.8
nelsoni,Spotted box turtle,24.9
ornata,Ornate box turtle,28.4
decorata,Hispaniolan slider,unknown
scripta,Common slider,41.3
baska,"Northern river terrapin, or Indian batagur terrapin",21.7
amboinensis,Southeast Asian box turtle,38.2
flavomarginata,Yellow-margined box turtle,19.1
trifasciata,Chinese three-striped box turtle,31.8
dentata,Asian leaf turtle,14.7
hamiltonii,Indian black pond turtle,19.2
thurjii,Crowned river turtle,18
annandalii,Yellow-headed temple turtle,9.3
grandis,Giant asian pond turtle,29.6
spinosa,Spiny turtle,22.9
subtrijuga,"Mekong snail-eating turtle, or Malayan snail-eating turtle",14.2
annamensis,Annam leaf turtle,23.9
caspica,Caspian turtle,17.6
japonica,Japanese pond turtle,16.2
leprosa,Spanish pond turtle,24.5
mutica,Yellow pond turtle,22.1
nigricans,Red-necked pond turtle,18
reevesii,Reeves' turtle,24.2
sinensis,Chinese stripe-necked turtle,22.8
trijuga,Indian black turtle,40
platynota,Malayan flat-shelled turtle,18.8
smithii,Brown roofed turtle,13.8
tecta,Indian roofed turtle,11
areolata,Furrowed wood turtle,19.3
pulcherrima,Painted wood turtle,20.4
rubida,Mexican spotted wood turtle,11.8
bealei,Beal's eyed turtle,27.3
crassicollis,Thick-necked turtle,16.7
angustatus,Narrow-bridged musk turtle,16.1
baurii,Striped mud turtle,49.6
herrerai,Herrera's mud turtle,19.5
integrum,Mexican mud turtle,18.5
leucostomum,White-lipped mud turtle,19.2
scorpioides,Scorpion mud turtle,44.7
sonoriense,Sonoran mud turtle,36.5
subrubrum,Common mud turtle,40
salvinii,Pacific Coast giant musk turtle,26.3
triporcatus,Mexican giant musk turtle,33.5
carinatus,"Razor-backed musk turtle, or Keel-backed musk turtle",29.3
minor,Loggerhead musk turtle,23.9
odoratus,Stinkpot,54.8
subrufa,Helmeted turtle,20.1
castaneus,West African mud turtle,41
subniger,East African black mud turtle,47
megacephalum,Big-headed turtle,27
erythrocephala,Red-headed Amazon side-neck turtle,18
expansa,South American river turtle,25.3
unifilis,Yellow-spotted river turtle,unknown
gigantea,Aldabra tortoise,152
radiata,Radiated tortoise,32.8
sulcata,African spurred tortoise,54.3
carbonaria,Red-footed tortoise,49
denticulata,Yellow-footed tortoise,35.2
nigra,Galapagos tortoise,177
elegans,Indian star tortoise,24.3
agassizii,Desert tortoise,62.8
berlandieri,Berlandier's tortoise,30.7
polyphemus,Gopher tortoise,unknown
areolatus,Parrot-beaked tortoise,28.6
elongata,Elongated tortoise,unknown
forstenii,Travancore tortoise,32.9
belliana,"Bell's hinge-back tortoise, or Hingeback tortoise",26.5
erosa,Serrated forest hingeback tortoise,24.8
tornieri,Pancake tortoise,25.9
emys,"Asian brown tortoise, or East Indian upland tortoise",19.9
pardalis,Leopard tortoise,30
graeca,Mediterranean spur-thighed tortoise,127
hermanni,Hermann's tortoise,unknown
kleinmanni,Egyptian tortoise,21
marginata,Marginated tortoise,21.2
ferox,Florida softshell turtle,26.2
mutica,Smooth softshell turtle,unknown
spinifera,Spiny softshell turtle,25.2
punctata,Indian flapshell turtle,17.8
steindachneri,Wattle-necked softshell turtle,41
triunguis,African softshell turtle,50.6
anguilla,European eel,88
australis,Shortfin eel,32
bicolor,Indonesian shortfin eel,20
dieffenbachii,New Zealand longfin eel,60
marmorata,Marbled eel,40
mossambica,African longfin eel,20
nebulosa,Long-finned eel,15
reinhardtii,Speckled longfin eel,41
rostrata,American eel,50
presbyter,Sand smelt,4
affinis,Topsmelt,9
californiensis,Jacksmelt,11
sicculus,Brook silverside,2
tenuis,California grunion,8
beryllina,Inland silverside,2
extensa,Waccamaw silverside,3
menidia,Atlantic silverside,2
myops,Snakefish,7
latipes,Japanese medaka,5
melanochir,Dusky sea garfish,10
saira,Pacific saury,2
splendens,Alfonsino,23
atlanticus,Orange roughy,149
mediterraneus,Mediterranean redfish,unknown
imberi,Spot-tail,5
macrolepidotus,Silversides,5
vittatus,Tiger fish,8
acutidens,Sharptooth tetra,3
bimaculatus,Twospot astyanax,18
brachypomus,Pirapitinga,28
niloticus,Nile distichodus,7.5
odoe,Pike characid,5
aestivalis,Blueback shad,8
agone,Twaite shad,25
alabamae,Alabama shad,4
alosa,Alice shad,10
caspia,Caspian shad,7
chrysochloris,Blue herring,4
macedonica,Macedonia shad,10
maeotica,Black sea shad,6
pontica,Pontic shad,7
pseudoharengus,Alewife,8
sapidissima,American shad,13
sirm,Spotted sardinella,8
harengus,Atlantic herring,22
pallasii,Pacific herring,19
cultriventris,Black sea sprat,5
cepedianum,American gizzard shad,6
petenense,Threadfin shad,4
thoracata,White sardine,unknown
aestuaria,Gilchrist's round herring,6
jaguana,Scaled herring,3
richmondia,Australian freshwater herring,11
pilchardus,True sardine,15
aurita,Round sardinella,7
gibbosa,Goldstripe sardinella,7
longiceps,Indian oil sardine,4
sagax,Pacific sardine,25
sprattus,European sprat,6
toli,Toli shad,unknown
compressa,Deepbody anchovy,6
mysticetus,Anchoveta,4
australis,Australian anchovy,6
encrasicolus,European anchovy,3
japonicus,Japanese anchovy,3
mordax,Californian anchoveta,7
ringens,Peruvian anchoveta,3
barbatula,Stone loach,7
carpio,River carpsucker,10
cyprinus,Quillback,11
velifer,Highfin carpsucker,11
catostomus,Longnose sucker,20
commersonii,White sucker,12
macrocheilus,Largescale sucker,15
microps,Modoc sucker,18
occidentalis,Sacramento sucker,10
platyrhynchus,Mountain sucker,9
rimiculus,Klamath smallscale sucker,9
tahoensis,Tahoe sucker,15
cujus,Cui-ui,41
liorus,June sucker,40
elongatus,Blue sucker,13
meridionalis,Southeastern blue sucker,33
luxatus,Lost river sucker,18
oblongus,Creek chubsucker,6
nigricans,Northern hog sucker,11
roanokense,Roanoke hog sucker,5
bubalus,Smallmouth buffalo,39
cyprinellus,Bigmouth buffalo,112
niger,Black buffalo,24
melanops,Spotted sucker,6
anisurum,Silver redhorse,10
breviceps,Hookfin redhorse,8
carinatum,River redhorse,12
duquesnii,Black redhorse,10
erythrurum,Golden redhorse,11
macrolepidotum,Shorthead redhorse,9
atripinnis,Blackfin sucker,4
hamiltoni,Rustyside sucker,5
rhothoeca,Torrent sucker,7
fossilis,"Weatherfish, or Loach",21.7
aspius,Asp,11
bynni,Barb,16.3
mattozi,Papermouth,9
treurensis,Treur barb,6
auratus,Goldfish,41
idella,Silver orfe,21
carpio,Common carp,47
rerio,Zebra danio or zebrafish,5.5
gobio,Gudgeon,8
altivelis,Rednose labeo,9
rohita,Rohu,10
aeneus,Smallmouth yellowfish,12
cephalus,European chub,22
buccatus,Silverjaw minnow,3
burchelli,Burchell's redfin,6
cobitis,Loach minnow,5
sericeus,Bitterling,5
brama,Bream,23
oligolepis,Largescale stoneroller,5
nasus,Sneep,15
cumberlandensis,Blackside dace,4
eos,Northern redbelly dace,3
erythrogaster,Southern redbelly dace,3
neogaeus,Finescale dace,6
elongatus,Redside dace,4
plumbeus,Lake chub,5
analostana,Satinfin shiner,4
galactura,Whitetail shiner,4
lutrensis,Red shiner,2
spiloptera,Spotfin shiner,5
whipplei,Steelcolor shiner,3
laurae,Tonguetied minnow,4
maxillingua,Cutlip minnow,2
orcuttii,Arroyo chub,4
robusta,Roundtail chub,8
mollispinis,Virgin spinedace,3
delineatus,Belica,2
idus,Ide,29.8
leuciscus,Common dace,16
chrysocephalus,Striped shiner,4
coccogenis,Warpaint shiner,5
cornutus,Common shiner,4
zonatus,Bleeding shiner,3
roseipinnis,Cherryfin shiner,1
umbratilis,Redfin shiner,3
aestivalis,Speckled chub,unknown
margarita,Pearl dace,4
biguttatus,Hornyhead chub,4
leptocephalus,Bluehead chub,4
micropogon,River chub,5
raneyi,Bull chub,5
crysoleucas,Golden shiner,9
albizonatus,Palezone shiner,3
anogenus,Pugnose shiner,3
atherinoides,Emerald shiner,4
baileyi,Rough shiner,4
blennius,River shiner,4
buchanani,Ghost shiner,2
candidus,Silverside shiner,2
heterodon,Blackchin shiner,3
heterolepis,Blacknose shiner,unknown
hudsonius,Spottail shiner,5
maculatus,Taillight shiner,unknown
