Species,Common name,Maximum longevity (yrs)
leucogeranus,Siberian crane,36.2
monacha,Hooded crane,24
rubicunda,Brolga,33
vipio,White-naped crane,45
americana,American coot,22.3
atra,"Eurasian coot, or Coot",20.6
chloropus,Common moorhen,18.6
tenebrosa,Dusky moorhen,13.9
australis,Weka,13.8
philippensis,Buff-banded rail,unknown
sylvestris,Lord howe woodhen,15.1
porphyrio,Purple swamphen,8.4
tabuensis,Spotless crake,unknown
aquaticus,Water rail,8.9
longirostris,Clapper rail,7.5
leucotis,White-cheeked turaco,12.4
undulata,Houbara bustard,unknown
tarda,Great bustard,28.3
chrysorrhoa,Yellow-rumped thornbill,13.1
ewingii,Tasmanian thornbill,7.7
inornata,Western thornbill,8.9
katherina,Mountain thornbill,15
lineata,Striated thornbill,23.5
nana,Yellow thornbill,13.8
pusilla,Brown thornbill,17.6
reguloides,Buff-rumped thornbill,9.5
uropygialis,Chestnut-rumped thornbill,7
leucopsis,Southern whiteface,14.3
fusca,Western gerygone,6.5
levigaster,Mangrove gerygone,5.5
magnirostris,Large-billed gerygone,4.1
mouki,Brown gerygone,8.9
palpebrosa,Fairy gerygone,4
tenebrosa,Dusky gerygone,10.6
gutturalis,Fernwren,4
solitaria,Rockwarbler,7
floccosus,Pilotbird,6.5
brunneus,Redthroat,9
citreogularis,Yellow-throated scrubwren,15.6
frontalis,White-browed scrubwren,17.6
keri,Atherton scrubwren,unknown
brevirostris,Weebill,7.4
arundinaceus,Great reed-warbler,10.1
australis,Australian reed warbler,7.1
dumetorum,Blyth's reed-warbler,8
familiaris,Millerbird,unknown
melanopogon,Moustached warbler,11.2
palustris,Marsh warbler,9.8
schoenobaenus,Sedge warbler,11.8
scirpaceus,Eurasian reed-warbler,16.9
sechellensis,Seychelles warbler,17
stentoreus,"Clamorous reed warbler, or Indian great reed warbler",10.6
icterina,Icterine warbler,10.8
polyglotta,Melodious warbler,8.9
pallida,"Eastern olivaceous warbler, or Olivaceous warbler",7.9
caudatus,Long-tailed tit,11.1
minimus,Bushtit,9.1
arvensis,Eurasian skylark,10.1
alpestris,Horned lark,8
cristata,Crested lark,11.6
arborea,Wood lark,6
cinereus,Black-faced woodswallow,unknown
cyanopterus,Dusky woodswallow,8.2
clamosus,Noisy scrubbird,7.8
cedrorum,Cedar waxwing,8.2
garrulus,Bohemian waxwing,13.5
lapponicus,Lapland longspur,6
pictus,Smith's longspur,5
hyperboreus,Mckay's bunting,4.8
nivalis,Snow bunting,10.2
novaehollandiae,Black-faced cuckooshrike,9
tenuirostris,Common cicadabird,6.2
leucomela,Varied triller,4.8
tricolor,White-winged triller,3.1
cardinalis,Northern cardinal,28.5
sinuatus,Pyrrhuloxia,unknown
parellina,Blue bunting,10.8
amoena,Lazuli bunting,9.9
caerulea,Blue grosbeak,10.2
ciris,Painted bunting,12
cyanea,Indigo bunting,11
ludovicianus,Rose-breasted grosbeak,24
melanocephalus,Black-headed grosbeak,25
ludoviciana,Western tanager,15.3
olivacea,Scarlet tanager,11.9
rubra,Summer tanager,7.9
americana,Dickcissel,4.8
americana,American treecreeper,unknown
brachydactyla,Short-toed tree-creeper,unknown
familiaris,Eurasian treecreeper,8.2
cetti,Cetti's warbler,9.3
cinclus,White-throated dipper,10.6
mexicanus,American dipper,8.1
exilis,Golden-headed cisticola,3.6
affinis,White-browed treecreeper,unknown
erythrops,Red-browed treecreeper,8.2
picumnus,Brown treecreeper,13.9
melanoramphos,White-winged chough,17.6
cinerea,Apostlebird,25
californica,Western scrub jay,15.8
coerulescens,Scrub jay,15
insularis,Island scrub jay,15.3
ultramarina,Mexican jay,25
monedula,"Eurasian crow, or Eurasian jackdaw",20.3
bennetti,Little crow,16.4
brachyrhynchos,American crow,20
caurinus,Northwestern crow,16.7
corax,Common raven,69
cornix,Hooded crow,16.8
corone,Carrion crow,19.2
